,timestamp,Open,High,Low,Close,Volume,quote_volume,close,high,low,open,volume,DateTime,ATR,SuperTrend,TrendDir,AdaptiveATR,shifted_dir
125,1747822200000,0.0016637,0.0016724,0.0016637,0.0016713,2978800.0,4969.94626,0.0016713,0.0016724,0.0016637,0.0016637,2978800.0,2025-05-21 10:10:00,4.76999999999997e-06,0.0016833046666666666,1.0,8.451555555555538e-06,1.0
124,1747822500000,0.0016713,0.0016713,0.0016669,0.0016671,992700.0,1656.3287,0.0016671,0.0016713,0.0016669,0.0016713,992700.0,2025-05-21 10:15:00,4.649999999999945e-06,0.0016833046666666666,1.0,8.451555555555538e-06,1.0
123,1747822800000,0.0016671,0.0016678,0.001658,0.0016594,1227700.0,2041.09731,0.0016594,0.0016678,0.001658,0.0016671,1227700.0,2025-05-21 10:20:00,5.099999999999961e-06,0.0016833046666666666,1.0,8.451555555555538e-06,1.0
122,1747823100000,0.0016594,0.0016656,0.001659,0.0016648,1306800.0,2173.25317,0.0016648,0.0016656,0.001659,0.0016594,1306800.0,2025-05-21 10:25:00,5.579999999999952e-06,0.0016833046666666666,1.0,8.451555555555538e-06,1.0
121,1747823400000,0.0016648,0.0016698,0.0016635,0.0016695,2736300.0,4565.52649,0.0016695,0.0016698,0.0016635,0.0016648,2736300.0,2025-05-21 10:30:00,5.669999999999959e-06,0.0016833046666666666,1.0,8.451555555555538e-06,1.0
120,1747823700000,0.0016695,0.0016713,0.0016677,0.0016709,643900.0,1074.70404,0.0016709,0.0016713,0.0016677,0.0016695,643900.0,2025-05-21 10:35:00,5.699999999999954e-06,0.0016833046666666666,1.0,8.451555555555538e-06,1.0
119,1747824000000,0.0016709,0.0016713,0.0016675,0.0016709,1365400.0,2279.09119,0.0016709,0.0016713,0.0016675,0.0016709,1365400.0,2025-05-21 10:40:00,5.729999999999971e-06,0.0016833046666666666,1.0,8.451555555555538e-06,1.0
118,1747824300000,0.0016709,0.001672,0.0016695,0.0016699,2039500.0,3406.71646,0.0016699,0.001672,0.0016695,0.0016709,2039500.0,2025-05-21 10:45:00,5.699999999999976e-06,0.0016833046666666666,1.0,8.451555555555538e-06,1.0
117,1747824600000,0.0016699,0.001675,0.0016694,0.001672,2136500.0,3574.29679,0.001672,0.001675,0.0016694,0.0016699,2136500.0,2025-05-21 10:50:00,5.630000000000001e-06,0.0016833046666666666,1.0,8.451555555555538e-06,1.0
116,1747824900000,0.001672,0.0016721,0.0016681,0.0016699,1826400.0,3050.85854,0.0016699,0.0016721,0.0016681,0.001672,1826400.0,2025-05-21 10:55:00,5.529999999999988e-06,0.0016833046666666666,1.0,8.451555555555538e-06,1.0
115,1747825200000,0.0016699,0.001676,0.0016699,0.001676,2566100.0,4294.00768,0.001676,0.001676,0.0016699,0.0016699,2566100.0,2025-05-21 11:00:00,5.269999999999971e-06,0.0016833046666666666,1.0,8.451555555555538e-06,1.0
114,1747825500000,0.001676,0.0016836,0.001675,0.0016826,3486400.0,5859.61432,0.0016826,0.0016836,0.001675,0.001676,3486400.0,2025-05-21 11:05:00,5.68999999999997e-06,0.0016833046666666666,1.0,8.451555555555538e-06,-1.0
113,1747825800000,0.0016826,0.0016903,0.0016826,0.0016886,9006700.0,15179.25945,0.0016886,0.0016903,0.0016826,0.0016826,9006700.0,2025-05-21 11:10:00,5.479999999999959e-06,0.0016965953333333333,-1.0,8.451555555555538e-06,-1.0
112,1747826100000,0.0016886,0.001698,0.0016879,0.0016969,5023800.0,8510.63905,0.0016969,0.001698,0.0016879,0.0016886,5023800.0,2025-05-21 11:15:00,5.829999999999985e-06,0.0016965953333333333,-1.0,8.451555555555538e-06,1.0
111,1747826400000,0.0016969,0.0017027,0.001695,0.0016955,23834700.0,40501.61904,0.0016955,0.0017027,0.001695,0.0016969,23834700.0,2025-05-21 11:20:00,5.969999999999999e-06,0.0016833046666666666,1.0,8.451555555555538e-06,-1.0
110,1747826700000,0.0016955,0.0016988,0.0016935,0.0016986,2154700.0,3655.2188,0.0016986,0.0016988,0.0016935,0.0016955,2154700.0,2025-05-21 11:25:00,6.14000000000003e-06,0.0016965953333333333,-1.0,8.451555555555538e-06,1.0
109,1747827000000,0.0016986,0.001701,0.0016939,0.0016961,3315800.0,5626.54444,0.0016961,0.001701,0.0016939,0.0016986,3315800.0,2025-05-21 11:30:00,6.470000000000043e-06,0.0016833046666666666,1.0,8.451555555555538e-06,-1.0
108,1747827300000,0.0016961,0.0016961,0.0016913,0.0016913,1616100.0,2735.49335,0.0016913,0.0016961,0.0016913,0.0016961,1616100.0,2025-05-21 11:35:00,6.7000000000000434e-06,0.0016965953333333333,-1.0,8.451555555555538e-06,1.0
107,1747827600000,0.0016913,0.0016956,0.0016913,0.0016946,12319500.0,20850.88864,0.0016946,0.0016956,0.0016913,0.0016913,12319500.0,2025-05-21 11:40:00,6.570000000000035e-06,0.0016833046666666666,1.0,8.451555555555538e-06,-1.0
106,1747827900000,0.0016946,0.0016946,0.0016847,0.0016881,24211800.0,40904.21932,0.0016881,0.0016946,0.0016847,0.0016946,24211800.0,2025-05-21 11:45:00,7.160000000000065e-06,0.0016965953333333333,-1.0,8.451555555555538e-06,1.0
105,1747828200000,0.0016881,0.0016917,0.0016871,0.0016901,3002900.0,5073.30041,0.0016901,0.0016917,0.0016871,0.0016881,3002900.0,2025-05-21 11:50:00,7.0100000000000676e-06,0.0016833046666666666,1.0,8.451555555555538e-06,-1.0
104,1747828500000,0.0016901,0.0016969,0.0016901,0.0016969,1281700.0,2170.78392,0.0016969,0.0016969,0.0016901,0.0016901,1281700.0,2025-05-21 11:55:00,6.8300000000000955e-06,0.0016965953333333333,-1.0,8.451555555555538e-06,1.0
103,1747828800000,0.0016969,0.0016998,0.0016918,0.001692,3944000.0,6687.66092,0.001692,0.0016998,0.0016918,0.0016969,3944000.0,2025-05-21 12:00:00,6.860000000000091e-06,0.0016833046666666666,1.0,8.451555555555538e-06,-1.0
102,1747829100000,0.001692,0.0016935,0.0016859,0.0016872,2587600.0,4374.65596,0.0016872,0.0016935,0.0016859,0.001692,2587600.0,2025-05-21 12:05:00,6.610000000000079e-06,0.0016965953333333333,-1.0,8.451555555555538e-06,1.0
101,1747829400000,0.0016872,0.0016947,0.0016872,0.001693,852500.0,1442.24301,0.001693,0.0016947,0.0016872,0.0016872,852500.0,2025-05-21 12:10:00,6.590000000000068e-06,0.0016833046666666666,1.0,8.451555555555538e-06,-1.0
